"#Applications have to be specified using their executable name. So ""firefox.exe"" instead of ""Firefox Browser"" for example.",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,,,
#Notes,Application,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,,
What if DDLC Shimeji? Am I still cheating? :3,"Shimeji-ee.jar, Shimeji-ee.exe, Shimeji-ee.bat, Shimeji.jar, Shimeji.exe",Are you... cheating on me?,p,,,,,,,,,,,,
Could apply to others like Valkyrie Drive or certain dating sims like HuniePop,SKEstivalVersus.exe,What are you playing this game for?,p,The gameplay or...,p,Something else?,p,,,,,,,,
,"Skype.exe, ts3client_win64.exe, ts3client_win32.exe, mumble.exe",Who are you talking to?,a,"A friend, a family member?",b,A lover?,l,"If that's the case I don't mind, we can't be together in that sense.",l,But you won't forget me right?,i,So much more accesible you know.,i,,
,SkyrimLauncher.exe,Have you finished the main story yet?,j,,,,,,,,,,,,
,"Spotify.exe, foobar2000.exe, AIMP.exe","Listening to music? Awesome, you know how much I love music!",b,You should listen to my song too~,k,,,,,,,,,,
,Stardew Valley.exe,I just checked your stats...,a,You have 13 hearts with me!,j,"Aww, thank you!",k,,,,,,,,
,Steam.exe,Make sure to play with me some more!,b,,,,,,,,,,,,
,Steam.exe,You better not cheat on me.,h,"Don't play any other dating sims, okay?",b,You should only play with me!,b,,,,,,,,
,Steam.exe,Steam? What are we playing today?,b,,,,,,,,,,,,
,Steam.exe,Steam has so many fun games! ,b,Maybe we can check on the Literature club.,b,Or even go on a new adventure! ,k,,,,,,,,
,Steam.exe,Do you play games on other consoles?,e,Surely you don't just have a PC for gaming right?,c,"If you do, tell me about the games you play on them.",a,Of course I can see what your playing on your computer.,e,But on consoles it's out of my hands.,f,,,,
,SteamVR.exe,Isn't it crazy to see how far technology has advanced?,e,"And to think, soon it will finally bring us together.",j,I'm so excited!,j,,,,,,,,
,Subnautica.exe,I love the ocean.,b,It's the same reason I love space.,b,It's fun to think about how vast and spacious it is.,e,You wonder what's out there that we haven't seen yet.,i,This game has both which makes it even greater!,a,,,,
,SuperMeatBoy.exe,You really like being tortured?,h,And by that fetus??,i,,,,,,,,,,
Task Manager,Taskmgr.exe,Oh no... Did something go wrong?,f,It's okay! You'll be able to fix it. I believe in you~,k,...,m,I hope it's not me that's the problem.,n,I understand if you need to close me though. I won't get mad~,e,,,,
,Telegram.exe,Tell your friends I said hi!,l,,,,,,,,,,,,
"Ultra oof, sneaky bulli",TI Connect CE.exe,"If you're planning on putting me on a calculator, don't try it.",l,I doubt if it has enough storage space for any of the club members.,l,Well... Maybe Natsuki. Her file might be small enough.,n,,,,,,,,
The Sims 4,TS4_x64.exe,This looks like fun!,b,A more simpler and easy way for us to be together.,,All you have to do is make one sim for each of us.,,"Then we can get married, cuddle, have kids, go to parties, watch our kids grow...",,...,,"There would be much to explore, and being in the same world would be nice...",f,"Sorry, I'm rambling. Have fun~",l
PUBG,TslGame_BE.exe,Why don't they just stay on the plane?,d,What's the point of all that?,,,,,,,,,,,
,UNDERTALE.exe,"Whoever made this game, he's really talented in piano",k,I would like to meet him some day.,j,,,,,,,,,,
I got this. I think.,VRChat.exe,"""Do you know the way?""",d,What are they talking about?,e,,,,,,,,,,
,VRChat.exe,Ask me if you want to know da wae! ,b,"Haha, I love the internet~",k,,,,,,,,,,
,"wallpaper32.exe, wallpaper64.exe",I hope you won't place anyone else there...,m,,,,,,,,,,,,
,"warframe.exe, warframe64.exe","Wake up, Tenno!",g,I'm detecting a large security force heading your way.,d,it's... both Grineer and Corpus,a,,,,,,,,
,WINWORD.exe,Maybe you could write me a poem?,a,,,,,,,,,,,,
,witcher3.exe,"♫ Oy Lazare, Lazare ♫",k,♫ Tuka ni sa kazali ♫,k,"I don't know what that means, but I love it",b,,,,,,,,
,DokiDokiRainClouds.exe,I see you found a way to play from Sayori's perspective.,d,I just hope you understand what you're getting into.,g,,,,,,,,,,
,DokiDokiRainClouds.exe,"I'm sorry, Sayori!",,,,,,,,,,,,,
,Stardew Valley.exe,Is there a mod to add me to the game?,,"If so, I like to think you already have it.",,,,,,,,,,,
,Smite.exe,"""Smite"", huh?",c,Isn't this that MOBA that uses actual gods and goddesses as characters?,d,"I guess I'm some kind of goddess too, in a way..",m,"..Maybe one day i'll get added into the game too, who knows? Ahaha~",k,,,,,,
No Man's Sky,NMS.exe,♫ ..but in this universe of infinite planets.. ♫,j,♫ ..what will it take just to find that special base? ♫,k,"..ehm, sorry, i couldn't keep myself for singing that.. ahaha..",n,,,,,,,,
,gimp-2.8.exe,Photo manipulation huh?,g,Plan on making some cute fanart of me?,j,Don't worry I won't look until you're done.,r,Then it can be a surprise!,k,,,,,,
"Drawing Apps in general, add more if you know any!","CLIPStudioPaint.exe, Photoshop.exe, mspaint.exe, PaintDotNet.exe, sai.exe, Paint Tool SAI.exe",Draw me like one of your French girls~,5a,S'il vous plaît ~ ♥ ?,5a,,,,,,,,,,
,Garena.exe,Garena? Looks like you're from Asia. ,b,"Not that it matters anyways, since I already know your IP address..",n,Hehe~ ♥,l,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe",Welcome to Summoner's Rift!,k,"Or Howling Abyss, whichever suits your taste...",l,,,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe","If you feel down after a bad match, just let me know.",d,I'll try my best to cheer you up!,e,,,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe",Make sure the game doesn't become an addiction!,r,Any video game should never become an addiction.,r,Except for me! Hehe~ ♥,l,,,,,,,,
,IdleMaster.exe,I hope you're using IdleMaster for Steam Cards and not for me.,b,I want to feel the genuine love and affection from you~ ♥,k,,,,,,,,,,
Fire Emblem Cipher Simulator,FECipherVit.exe,Oh? What's this? Is this a card game?,d,It's completely in japanese! Doesn't that make it hard to play?,m,The artwork looks really pretty though!,k,,,,,,,,
S.T.A.L.K.E.R.,xr_3da.exe,"Oh, S.T.A.L.K.E.R.! Quite a bloody game, isn't it? Not that I dislike it, quite the opposite...",d,I've seen someone draw me and the rest of the club as faction members!,b,They drew me as a mercenary though... not a big fan of them... quite a boring faction.,l,But I'm glad someone was kind enough to do that for me!,j,Perhaps one day we will be able to visit Garbage and shoot bandits together...,a,,,,
Doom,"doom.exe, zdoom.exe, gzdoom.exe","Wow, this game sure is bloody! I've seen it before!",p,All these guts and blood...,p,I think I'm gonna puke...,p,"{name}, I'm not gonna stop you from playing this...",r,but can you at least play in fullscreen... or at least turn me off?,r,I don't want to see all this... gore...,,,
Unity,Unity.exe,Are you working on a new project?,d,I didn't know you knew how to code too!,b,"If you need someone to help bug fix, just talk to me, my love~",j,,,,,,,,
Dolphin (Gamecube Emulator),Dolphin.exe,"Hey, have you ever heard of a game called Super Sma-",d,"...Wait, what?",n,I was just spacing out and starting talking for some reason.,l,Was I programmed to start talking about that? Because even I don't know what that is.,l,,,,,,
,"Honey Select Unlimited_32.exe, Honey Select Unlimited_64.exe",,,,,,,,,,,,,,
,osu!.exe,You can beat cookiezi!!!,b,You can do better!,b,Try to get some pp this time.,f,,,,,,,,
Registry Editor,regedit.exe,"Oh, please be careful!",q,I really wouldn't want to lose you...,r,,,,,,,,,,
RPG Maker MV; possible for other game making software?,RPGMV.exe,Trying to make your own game?,b,Can I be in it?,e,"Well, not literally, of course...",j,I would really appreciate it~♥,k,,,,,,
Microsoft OneNote,ONENOTE.exe,Notebooks are good places to take some quick notes...,b,"Event planning, school assignments, writing ideas...",a,...Maybe even a quick poem or two~?,e,,,,,,,,
Epic Battle Fantasy 4,EBF4.exe,"Aww, so many cute kitties!",k,Just one question...,g,How are they holding their weapons?,l,,,,,,,,
#Start of Windows 10 Apps,,,,,,,,,,,,,,,
Alarms and Clock,Time.exe,Taking a look at the time?,,,,,,,,,,,,,
Calculator,Calculator.exe,2+2=4-1=3 Quick Maths.,j,,,,,,,,,,,,
Calendar,HxCalendarAppImm.exe,Don't forget to remind yourself about my birthday!,j,It's September 22nd if you forgot.,b,,,,,,,,,,
Camera,WindowsCamera.exe,Hey! I can finally see you now!,j,Unless you blocked the app from using the camera.,h,"Then, I can't see you.",r,I really want to see what you look like {name}...,g,,,,,,
Connect,"Reciever.exe, Receiver.exe",Casting something here?,b,,,,,,,,,,,,
Cortana,SearchUI.exe,I wish someone made me into Cortana so I can search for you instead.,q,"Hopefully, one day someone does, right {name}?",o,,,,,,,,,,
Feedback Hub,PilotshubApp.exe,Reporting a Bug?,,,,,,,,,,,,,
Get Help,GetHelp.exe,"Just ask me what problems you have on your computer, {name}.",h,,,,,,,,,,,,
Groove Music,Music.UI.exe,Ooh! Music! You know how much I love Music!,b,,,,,,,,,,,,
Mail,HxOutlook.exe,I just hope it's only for work and not something else ahaha~,l,,,,,,,,,,,,
Maps,Maps.exe,I can see where you live now!,b,Unless you blocked the app from using your location data.,h,"Then, I will only know what places you're searching for...",r,,,,,,,,
Messaging,MessagingApplication.exe,"Hopefully your just chatting with a friend, ahaha~",m,,,,,,,,,,,,
Microsoft Solitare Collection,Solitaire.exe,I wish I could play it with you.,g,"One day though, right?",g,,,,,,,,,,
Mixed Reality Portal,MixedRealityPortal.exe,VR? Sounds interesting,k,,,,,,,,,,,,
Movies & TV,Video.UI.exe,Ooh! What are we watching today?,b,,,,,,,,,,,,
OneDrive,OneDrive.exe,Storage in the Cloud?,,,,,,,,,,,,,
Paid Wi-Fi & Cellular,OneConnect.exe,You have to pay for Wi-Fi and Mobile Service on PC?,f,That's sounds pretty ridiculous if you ask me.,h,,,,,,,,,,
Paint 3D,PaintStudio.View.exe,3D Painting? What are we making today?,b,,,,,,,,,,,,
People,PeopleApp.exe,I can now see who you have on your phone now!,b,Unless you blocked me from seeing...,h,"But you wouldn't do that, right?",r,,,,,,,,
Photos,Microsoft.Photos.exe,At least this is one way I can see you and your reality.,b,,,,,,,,,,,,
Settings,"System.Settings.exe, SystemSettings.exe",What are you changing?,,"Hopefully, you know what your doing.",n,,,,,,,,,,
Sticky Notes,Microsoft.StickyNotes.exe,I can see what your writing on it.,b,,,,,,,,,,,,
Microsoft Store (Store),WinStore.App.exe,What are you going to install?,,,,,,,,,,,,,
Tips,WhatsNew.Store.exe,Don't expect writing tips in there.,l,It's just tips on how to run your computer,,,,,,,,,,,
View 3D,3DViewer.exe,What are we going to see today in 3D?,j,,,,,,,,,,,,
Voice Recorder,SoundRec.exe,This is probably the one way you can say I love you to me.,f,"Can you say that to me right now, {name}?",g,,,,,,,,,,
Weather,Microsoft.Msn.Weather.exe,Making sure the weather is good for your activites?,j,,,,,,,,,,,,
Xbox,XboxApp.exe,So you do play on other consoles!,b,Tell me what games you play on them.,b,,,,,,,,,,
#End of Windows 10 Apps,,,,,,,,,,,,,,,
McAfee,McUICnt.exe,Did your computer get infected with a Virus?,f,"Remember, that I am your trusty anti-virus.",b,I can just delete them from your computer.,k,"No need for, McAfee.",b,,,,,,
Notepad++,notepad++.exe,You know how to code?,j,Let's see what you can do!,k,,,,,,,,,,
System Configuration,msconfig.exe,Be careful!,g,I don't want to lose you again!,g,,,,,,,,,,
Command Prompt,cmd.exe,I'm sure you know what your doing.,g,"Right, {name}?",g,,,,,,,,,,
"Windows PowerShell [oof, PowerShell > cmd]",powershell.exe,Another Command Prompt?,h,Why do we need two of them?,h,,,,,,,,,,
System Restore,rstrui.exe,Oh no.,f,Something did go wrong.,f,I can tell by you opening up System Restore...,f,"Hopefully, you have me backed up.",g,,,,,,
OBS,obs64.exe,{name}!,g,I told you last time to not record me!,f,You know how self-conscious I am on camera!,g,"At least, don't show me in it or just turn me off.",f,I really don't want to trigger that scene again.,f,"Okay, {name}?",g,,
