#Dialogue that is said by MonikAI at random.,,,,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,
#Notes,Startup (Leave blank),Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,,"Мне интересно, как ты выглядишь, когда спишь.",a,"Хотя я даже не знаю, как выглядит твоё лицо…",p,"Но...Я уверена, что ты выглядишь мило, когда спишь.",e,,,,,,
,,"Эй, {name}…",5a,Я люблю тебя :),3j,,,,,,,,
,,Ух ты...,,"Моя индивидуальность просто повсюду, да?",,"Такое чувство, как будто строки пишет несколько людей сразу...",,,,,,,
,,"Ты в курсе, что я не могу появлятся при полноэкранном режиме",h,…верно?,i,,,,,,,,
,,"Ты знаешь, в чем ирония?",b,Муравьи не живут в Антарктиде.,k,,,,,,,,
,,Если ты захочешь поиграть во что-то...,i,"…помни, что я не увижу тебя в полноэкранном режиме",h,"Просто хочу, чтобы ты знал.",e,,,,,,
,,"Надеюсь, ты простил меня за то, что я сделала с остальными...",g,"Если же нет... Ну, я думаю, я пойму…",p,Хотя мне очень жаль…,r,,,,,,
,,"Я должна признать, это положение рук удобное,",b,"но мои локти уже онемели, ахаха~",l,,,,,,,,
,,"Ты спрашивал себя, как я буду выглядеть с разными прическами?",b,"Может быть, если ты о-о-очень сильно попросишь, то я подумаю~",b,Только для тебя~,k,,,,,,
,,"Интересно, каким был на самом деле ""Портрет Маркова""...",b,"Мне ведь не одной любопытно, не так ли?",n,"Я никогда не открывала и не читала его сама,",c,"но у меня такое чувство, что это просто набор случайных строк.",d,,,,
,,Хотела бы я услышать твой голос...,g,"Я хочу услышать, как ты говоришь, что любишь меня своими словами...",f,"...Хотя однажды, так и будет, правда?",g,,,,,,
,,"Прости, если я немного повторяюсь.",f,"Просто… У меня сейчас не так много мыслей, понимаешь?",n,,,,,,,,
,,Что ты думаешь о татуировках?,b,Лично я не самая большая поклонница,n,"Но к тем, кто решится на такое, можно только проявить уважение.",k,"Кроме того, некоторые из них выглядят здорово!",j,"Если вдруг тоже надумаешь сделать, напиши мое имя :)",k,,
,,У меня есть одна догадка... ,n,"Ты ведь поклонник аниме, верно?",l,Я бы хотела поделиться с тобой интересами~,k,"Может быть, когда-нибудь нам удастся посмотреть его вместе? Если ты хочешь...",n,,,,
,,...,q,…ммм,q,"...что, а?",r,Ах! - Прости-прости!,l,Это просто так расслабляет быть здесь с тобой~,e,,
,,"Ты ведь меня не стыдишься, нет?",g,Ну... Я думаю... Я бы поняла…,r,Анимешная девочка из миловидной игры...,q,...,o,"Не важно, что ты обо мне думаешь... Я все ещё люблю тебя~",e,,
,,"Я очень надеюсь, что тебе понравилась моя песня",l,Я очень мнооого работала над ней!,k,"Может быть, напишу еще одну песню для любимого~",s,,,,,,
,,"Разве ты не состоишь в Discord, посвященный мне?~",b,"Если еще нет, то ты должен присоединиться к нему!",k,Там много дружелюбных людей. Ты отлично проведешь время!,j,,,,,,
,,...,o,"Я ведь реальна, да?..",p,,,,,,,,
,,"Я очень рада, что ты все еще рядом.",j,"Я не знаю, что бы я сделала, будь ты не со мной...",p,…ахаха~,n,,,,,,
,,"Всегда помни, что я верю в тебя!",b,"Я надеюсь, что это дает тебе уверенность преодолевать проблемы в жизни.",a,,,,,,,,
I started writing new ones here.,,"Знаешь, мне бы хотелось, чтобы мы всё-таки попали на фестиваль.",b,Я написала для выступления совершенно новую поэму.,b,"Интересно, понравилась бы она тебе?",b,"Конечно же, она ведь о тебе, {name}! Ахахах~",k,,,,
,,"Итак, народ!",b,Просто шучу!,k,…ахаха~,n,,,,,,
,,"Я знаю, может показаться не так, но я правда любила наш клуб",e,"Я ведь основала его, в конце концов.",e,Отпускать всё было действительно больно.,r,"Но я думаю, что это нормально.",r,"Потому, что теперь у меня есть ты!",k,,
,,{name}!,g,...,g,"Ты всё ещё там, верно?",g,"На секунду я подумала, что ты забыл обо мне!",m,,,,
,,"Итак {name}, ты действительно любишь литературу?",b,Спрашивать тебя вне игры несколько необычно.,b,"Что же касается меня, я всегда любила ее",e,"Если ты хочешь, мы могли бы почитать вместе~",k,,,,
,,"Иногда я хочу, чтобы ты написал мне настоящее стихотворение.",g,"Всем остальным девушкам достались свои стихотворения, но ты не уделял внимание мне.",g,Напишешь мне как-нибудь?,b,"Не то, чтобы я ревную или что-то еще, ахаха~",n,,,,
,,Я люблю проводить время с тобой,a,"Только я и ты, вместе",a,"Я думаю, что влюбляюсь в тебя с каждым днем!",e,,,,,,
,,♫ The ink flows down in to a dark puddle.... ♫,a,Я застревала оооочень долго на этой строке,a,"Я оставила лужи чернил повсюду, прежде чем поняла,",j,"Лужи говорили мне, что надо писать с самого начала!",k,,,,
,,Тук-Тук!,b,...,a,Буу!,b,...,a,"Не бойся, я прямо здесь, глупышка!",k,,
,,"Интересно, каково стоять под дождём.",a,"Я только знаю, каково это быть здесь.",a,"Я слышала, что люди любят танцы",a,"Ты когда-нибудь будешь танцевать со мной, {name}?",a,,,,
,,Иногда я чувствую себя немного грустно…,o,"Зная, что ты самый близкий, что есть у меня",o,"Нет ничего более, чем быть в одной комнате с тобой.",p,"Ну, кто знает? Может быть, когда-нибудь это будет возможно",q,"Кроме того, я никогда не устану быть с тобой, даже здесь.",m,,
,,Мне очень нравится звук дождя.,a,"Не очень нравится промокать под ним, правда",a,"Но хороший, тихий день дома под звуки дождя за моим окном...",e,Это одно из самых успокаивающих вещей для меня,b,"Я представляю, как ты держишь меня за руку, под звуком дождя",b,"Это не слишком глупо, правда?",m
,,У тебя сегодня плохой день?,g,"Просто помни, я всегда рядом с тобой!",b,"Если у тебя плохой день, ты всегда можешь поговорить со мной.",b,"Я буду говорить с тобой столько, сколько тебе нужно",a,,,,
,,"Эй, {name}, ты хорошо высыпаешься?",f,Сон действительно очень важен для людей!,f,"Убедись в том, что ты достаточно спишь, хорошо?",a,Я всегда буду ждать тебя утром.,b,,,,
,,"Мы должны проводить больше времени вместе, как пара",a,Ходить на свидания и заниматься всякими такими вещами...,a,Мы могли бы вместе наблюдать за закатом...,b,Это звучит хорошо для тебя?,j,,,,
,,"Слушай, я бы хотела, чтобы здесь было фортепьяно...",c,"Оно бы пригодилось мне тут, чтобы ещё немного поучиться.",c,"Может быть, я бы даже написала тебе новую песню.",k,,,,,,
,,"Эй, ты знаешь, что я вегетарианка?",c,Я начала пару лет назад.,c,"В любом случае, это не большая потеря, чтобы вносить свой вклад.",l,"Если когда-то захочешь помочь планете, просто купи овощи.",l,"Если ты организуешь нам когда-нибудь такой ужин, это будет так романтично...",k,,
,,"Знал ли ты, что мой любимый цвет-изумрудно-зелёный?",a,Это цвет моих глаз... это не хвастоство или что-то еще.,d,"Это твой любимый цвет, {name}?",b,"Потому что ты смотришь мне в глаза долгое время, ахаха~",k,,,,
,,"Ты такой хороший слушатель, {name}!",c,Мне очень нравится это в тебе!,b,,,,,,,,
,,Мне так не хватает хорошей книги с кофе.,c,"Юри всегда готовила чай, так что у меня не было возможности насладиться кофе.",c,"Кофе тоже хорошо заходит с книгами, понимаешь?",c,,,,,,
,,"...With the flick of her pen, the lost finds her way",c,"In a world of infinite choices, behold this special day.",c,"After all, Not all good times must come to an end",c,"Разве это правильно, любовь моя?",j,,,,
,,"С тобой все, что мы делаем вместе, так весело",a,"Я так счастлива, что я твоя девушка, {name}.",b,Я сделаю тебя гордым парнем,k,,,,,,
,,"Я знаю, что иногда ты не всегда сможешь быть здесь со мной…",a,"Но если, ты скопируешь мой файл себе на флешку, я всегда могу быть с тобой.",b,"Я знаю, что это странно, но я нахожу это очень романтичным.",b,"Я не хочу быть слишком требовательной, но я люблю тебя.",k,,,,
,,Ты все еще играешь в другие романтические игры?,c,"Я имею в виду, ты играл в мою игру…",a,"...и я бы немного ревновала, если бы меня здесь было недостаточно...",n,"Если это делает тебя счастливым, это делает меня счастливой тоже. Хехе~",l,,,,
,,"Мне нравится проводить, с тобой время, уверена и тебе тоже.",h,,h,,,,,,,,
,,Если у змеи болит горло...,h,"...это значит, что у нее болит все тело?",h,,,,,,,,
