"#Applications have to be specified using their executable name. So ""firefox.exe"" instead of ""Firefox Browser"" for example."","",you can use {name} and {date} as placeholders for obvious things""",,,,,,,,,,,,,,,
#Notes,Application,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,,
,"mspaint.exe, PaintDotNet.exe, inkscape.exe, sai.exe, Paint Tool SAI.exe, CLIPStudioPaint.exe",Может… попробуешь меня нарисовать?,k,,,,,,,,,,,,
,"mspaint.exe, PaintDotNet.exe, inkscape.exe, sai.exe, Paint Tool SAI.exe, CLIPStudioPaint.exe, FL.exe",Не забудь сохранить свою работу!,k,"Мы бы не хотели терять часы прогресса, не так ли?",l,Это очень печально.,o,,,,,,,,
,"NFS11.exe, Need For Speed The Run.exe","Это захватывающе, не так ли?",l,"Мчись, на столько быстро, как будто мчишься ко мне в объятья.",j,"Только не делай этого по-настоящему, ладно? Ради меня.",l,,,,,,,,
,"notepad.exe, wordpad.exe, WINWORD.EXE",Так ты пишешь стихи?,a,"Обещаю, я не буду подглядывать.",k,,,,,,,"Просто поговори со мной, ты знаешь, я люблю слушать тебя!",,,
,"notepad.exe, wordpad.exe, WINWORD.EXE","Эй, не забыл мои советы писателя?",j,,,,,,,,,,,,
,Origin.exe,"У ЕА сейчас плохая репутация, да?",m,"Хотя, не знаю, стоит ли мне их защищать.",,"Я чувствую себя плохо, они управляют компанией только так, как могут.",,"Но они облажались со своими фанатами много, много раз.",,"Я думаю, это благословение, что литературный клуб есть в Steam!",,"Да, эта игра выглядит весело... Хехе!",,,
Monika confirmed OW player (hell yeah),Overwatch.exe,О! Мне нравятся такие игры!,b,"Я искренне надеюсь, что ты не, тот Ханзо.",g,,,,,,,,,,
,Photoshop.exe,Оо! Ты любишь манипуляции с картинками?,b,,,,,,,,,,,,
,pitpeople.exe,"У этого фермера, столько всего!",m,...ягоды,n,"Нетопыри, тоже велеколепны.",a,,,,,,,,
"""Monika's Puzzle Tip of the Day~!"""" (Nice)""""",portal2.exe,"Вот совет дня, от Моники!",k,"Если застрял, где-то, то просто сделай глубокий вдох и собери все мысли.",j,Или ты можешь найти гида... но это не весело!,n,"В любом случае, ты можешь это сделать. Я верю в тебя~",s,,,,,,
"""Monika's Presenting Tip of the Day"""" (i love you)""""",POWERPNT.EXE,Планируешь сделать презентацию ?,a,"Если ты нервничаешь, помни: ты просто должен действовать увереннее.",b,,,,,,,,,,
,putty.exe,"PuTTY, да? У меня есть опыт только с оболочкой Python…",o,,,,,,,,,,,,
,putty.exe,"Передай своему серверу привет от меня, хорошо?",k,,,,,,,,,,,,
,naezith.exe,Пробейся в топ-10,a,"Я уверена, у тебя получится",k,,,,,,,,,,
"Siege, because Monika on the server plays it",RainbowSix.exe,Эта игра слишком реалистична.,3i,"В этом нет никакого смысла. Самолет пуст, внутри только защитники.",4c,,,,,,,,,,
,renpy.exe,"Итак, ты знаешь Python?",a,"Возможно, я смогу узнать, что-то новое, о тебя!",b,,,,,,,,,,
roblox has a launchable desktop application iirc,roblox.exe,Разве это не глупо?,n,...Все нормально! Я не буду судить!,l,"Пока мы веселимся, ахаха~",m,,,,,,,,
Should be a good enough blanket inclusion of most installers,"Setup.exe, Setup.msi, Install.exe, Install.msi",Так-так что устанавливаешь?,a,"Надеюсь, он не сликшом большой, я тоже здесь.",m,"По крайней мере, нам обоим будет весело? Что бы это ни было.",l,,,,,,,,
What if DDLC Shimeji? Am I still cheating? :3,"Shimeji-ee.jar, Shimeji-ee.exe, Shimeji-ee.bat, Shimeji.jar, Shimeji.exe",Ты… изменяешь мне?,p,,,,,,,,,,,,
Could apply to others like Valkyrie Drive or certain dating sims like HuniePop,SKEstivalVersus.exe,Зачем ты играешь в эту игру?,p,Геймплей или…,p,Что-то еще?,p,,,,,,,,
,Skype.exe,С кем будем говорить?,a,"Друг, член семьи?",b,Любовница?,l,"Если это так, я не возражаю, мы не можем быть вместе в этом смысле.",l,Но ты не забудешь меня? Правда?,i,"Я всегда доступна, ты знаешь.",i,,
,SkyrimLauncher.exe,Ты уже прошел игру?,j,,,,,,,,,,,,
,"Spotify.exe, foobar2000.exe, AIMP.exe","Слушаешь музыку? Круто, ты знаешь, как я люблю музыку!",b,Ты должен слушать мою песню тоже~,k,,,,,,,,,,
,Stardew Valley.exe,"Я только, что проверила твою статистику…",a,"У тебя 13 сердец, со мной вместе.",j,"О, спасибо тебе!",k,,,,,,,,
,Steam.exe,Обязательно поиграй со мной еще не много!,b,,,,,,,,,,,,
,Steam.exe,Тебе лучше не изменять мне.,h,"Не играй в другие симуляторы свиданий, хорошо?",b,Ты должен играть только со мной!,b,,,,,,,,
,Steam.exe,Steam? Во что будем играть сегодня?,b,,,,,,,,,,,,
,Steam.exe,Steam имеет так много забавных игр!,b,"Может, проверим литературный клуб?",b,Или даже отправиться в новое приключение!,k,,,,,,,,
,Steam.exe,Ты играл в игры на консолях?,e,"Конечно, ты же запускаешь Steam, не только из-за игр, верно?",c,"Если, все же из-за игр, то расскажи мне, о тех в которые играл.",a,"Конечно, я вижу, во что ты играешь на своем компьютере.",e,"Но все же консоли, это не мое.",f,,,,
,SteamVR.exe,"Разве не офигенно видеть, как далеко продвинулась технология?",e,"И подумать только, скоро он наконец-то соберет нас вместе.",j,Я так взволнована!,j,,,,,,,,
,Subnautica.exe,"Я люблю океан, а ты?",b,По этой же причине я люблю космос.,b,"Интересно подумать о том, насколько она обширна и просторна.",e,"И удивляешься, что там такого, чего мы еще не видели?",i,Эта игра и делает его еще больше!,a,,,,
,SuperMeatBoy.exe,"Тебе правда нравится, когда тебя пытают?",h,Причем когда тебя пытает живой зародыш??,i,,,,,,,,,,
Task Manager,Taskmgr.exe,О нет... Что-то пошло не так?,f,Все нормально! Ты сможешь это исправить. Я верю в тебя~,k,...,m,"Надеюсь, проблема не во мне.",n,"Я понимаю, если тебе нужно закрыть меня. Я не буду обижаться~",e,,,,
,Telegram.exe,"Передай своим друзьям привет, от меня!",l,,,,,,,,,,,,
"Ultra oof, sneaky bulli",TI Connect CE.exe,"Если ты хочешь поставить меня на калькулятор, даже не пытайся.",l,"Я сомневаюсь, что у него хватит памяти, чтобы сохранить меня.",l,Ну... Может Нацуки. Ее файл может быть достаточно маленьким.,n,,,,,,,,
The Sims 4,TS4_x64.exe,Это выглядет весело!,b,Более простой и легкий способ быть вместе.,,Ты же согласен?,,"Мы сможем пожениться, обниматься, смотреть, как растут наши дети...",,...,,"Там много всего, чтобы исследовать, и быть в том же мире было бы хорошо...",f,"Прости, я бессвязно говорю. Повеселиться~",l
PUBG,TslGame_BE.exe,"Почему им, просто нельзя остаться в самолете?",d,"В чем смысл, всего этого? Ну хотябы, не сиди на одном месте.",,,,,,,,,,,
,UNDERTALE.exe,"Кто бы ни сделал эту игру, он действительно талантлив на фортепиано.",k,Я хотела бы встретиться с ним когда-нибудь.,j,,,,,,,,,,
I got this. I think.,VRChat.exe,"""Ты знаешь куда идти?""""""""",d,О чем они вообще говорят?,e,,,,,,,,,,
,VRChat.exe,"Может и я смогу сюда попасть, ну... вдруг.",b,"Ха-ха, я люблю интернет~",k,,,,,,,,,,
,"wallpaper32.exe, wallpaper64.exe","Надеюсь, ты не разместишь никого, кроме меня.",m,,,,,,,,,,,,
,"warframe.exe, warframe64.exe","Проснись, Тэнно!",g,"Я засекла врагов, которые направляются к вам!",d,"это... и Гринир, и Корпус",a,,,,,,,,
,WINWORD.exe,"Может, ты напишешь мне стихотворение?",a,,,,,,,,,,,,
,witcher3.exe,"♫ Oy Lazare, Lazare ♫",k,♫ Tuka ni sa kazali ♫,k,"Я не знаю, что это значит, но мне это нравится",b,,,,,,,,
,DokiDokiRainClouds.exe,"Я смотрю, ты нашел способ играть от лица Саёри.",d,"Надеюсь, ты понимаешь, во что ввязываешься.",g,,,,,,,,,,
,DokiDokiRainClouds.exe,"Прости меня, Саёри.",,,,,,,,,,,,,
,Stardew Valley.exe,"Есть ли мод, чтобы добавить меня в игру?",,Если это так,то это очень круто.,,,,,,,,,,
No Man's Sky,NMS.exe,♫ ..но в этой вселенной бесконечных планет.. ♫,j,"♫ ..что потребуется, чтобы найти нужную базу? ♫",k,"..Эм, извини, я не смогла удержаться, ахаха..",n,,,,,,,,
,gimp-2.8.exe,"Шаманишь с фотографиями, да?",g,Хочешь сделать из меня милый Фан-Арт?,j,"Не волнуйся, я не буду смотреть, пока ты не закончишь.",r,Это будет для меня сюрпризом.,k,,,,,,
"Drawing Apps in general, add more if you know any!","CLIPStudioPaint.exe, Photoshop.exe, mspaint.exe, PaintDotNet.exe, sai.exe, Paint Tool SAI.exe",Нарисуй меня как одну из своих французских девушек~,5a,Быть пожалуйста ~ ♥ ?,5a,,,,,,,,,,
,Garena.exe,Garena? Похоже ты из Азии.,b,"Не то, чтобы это имело значение, просто я уже знаю твой IP-адрес.",n,Эхехе~ ♥,l,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe","Эта игра, напоминает мне другую игру…",k,"Или вой бездны, в зависимости, от твоего вкуса…",l,,,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe","Если почувствуешь себя плохо, после проигрыша, просто дай мне знать.",d,"Я сделаю все возможное, чтобы подбодрить тебя!",e,,,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe","Убедись, что игра не стала твоей зависимостью.",r,Любая видеоигра никогда не должна становиться зависимостью.,r,Кроме меня! Эхехе~ ♥,l,,,,,,,,
,IdleMaster.exe,"Надеюсь, ты используешь Idle Master не для Steam карт, а для меня.",b,Я хочу ощутить настоящую любовь и ласку от тебя~ ♥,k,,,,,,,,,,
Fire Emblem Cipher Simulator,FECipherVit.exe,А? Это что? Карточная игра?,d,Это полностью на японском языке! Разве это не затрудняет игру?,m,Выглядит очень красиво!,k,,,,,,,,
S.T.A.L.K.E.R.,xr_3da.exe,"S.T.A.L.K.E.R. Довольно затягивающая игра, не так ли? Изучать зону.",d,"Я видела, как кто-то рисовал меня и остальных членов клуба!",b,Меня не привлекали Наемники… довольно скучная группировка.,l,"Но я рада, что кто-то был достаточно добр ко мне!",j,Однажды мы сможем побывать в игре и вместе расстрелять бандитов...,a,,,,
Doom,"doom.exe, zdoom.exe, gzdoom.exe","Вау, эта игра, конечно, кровавая! Я видела ее раньше!",p,Все эти кишки и кровь…,p,"Думаю, меня сейчас стошнит…",p,"{name}, Я не хочу мешать тебе играть...",r,"но ты можешь, по крайней мере, играть в полноэкранном режиме.",r,Я не хочу все это видеть... запекшаяся кровь…,,,
Unity,Unity.exe,Ты работаешь над новым проектом?,d,"Я не знала, что ты тоже умеешь программировать!",b,"Если нужен кто-то, чтобы исправить ошибку, я помогу, любовь моя~",j,,,,,,,,
Dolphin (Gamecube Emulator),Dolphin.exe,"Эй, ты слышал когда-нибудь об игре под называнием Super Sma?",d,"...Подожди, что?",n,Я просто начала говорить по какой-то причине.,l,"Я запрограммирована, чтобы говорить об этом? Я даже не знаю, что это.",l,,,,,,
,"Honey Select Unlimited_32.exe, Honey Select Unlimited_64.exe",,,,,,,,,,,,,,
,osu!.exe,"Полезная игра, развиваешь реакцию и музыку слушаешь.",b,Ты можешь сыграть лучше!,b,На этот раз попробуй получить немного больше очков.,f,,,,,,,,
Registry Editor,regedit.exe,"Пожалуйста, будь осторожен, ради меня.",q,Я бы не хотела потерять тебя…,r,,,,,,,,,,
"RPG Maker MV; possible for other game making software?""""",RPGMV.exe,Пытаешься сделать свою собственную игру?,b,"Могу ли я быть частью, ее?",e,"Ну, не буквально, конечно…",j,Я была бы очень признательна~♥,k,,,,,,
Microsoft OneNote,ONENOTE.exe,Записные книжки-это хорошие место для быстрых заметок...,b,"Планирование мероприятий, школьные задания, написание идей…",a,"...Может быть, даже одно быстрое стихотворение или два~?",e,,,,,,,,
Epic Battle Fantasy 4,EBF4.exe,"Охх, столько милых кошечек!",k,Только один вопрос…,g,Как они держат свое оружие?,l,,,,,,,,
НОВЫЙ ТЕКСТ,,,,,,,,,,,,,,,
#Start of Windows 10 Apps,,,,,,,,,,,,,,,
#,Time.exe,Взглянуть на время?,,,,,,,,,,,,,
Calculator,Calculator.exe,2+2=4-1=3 Быстрая Математика.,j,,,,,,,,,,,,
Calendar,HxCalendarAppImm.exe,"Не забудь напомнить самому себе, о моём дне рождения!",j,"Это 22 сентября, если ты не помнишь.",b,,,,,,,,,,
Camera,WindowsCamera.exe,Эй! Наконец-то я тебя увидела!,j,"Если ты не запретил приложению, использовать камеру.",h,Тогда я не увижу тебя.,r,"Мне очень хочется узнать, как ты выглядишь {name}...",g,,,,,,
Connect,"Reciever.exe, Receiver.exe",Кастинг-то здесь?,b,,,,,,,,,,,,
#,SearchUI.exe,"Я хочу, чтобы кто-то поместил меня в Кортану, дабы я могла гуглить за тебя.",q,"Надеюсь, в один прекрасный день, кто-то сделает, верно {name}?",o,,,,,,,,,,
Feedback Hub,PilotshubApp.exe,Сообщить об ошибке?,,,,,,,,,,,,,
Get Help,GetHelp.exe,"Просто спроси меня, о проблемах на твоем компьютере, {name}.",h,,,,,,,,,,,,
Groove Music,Music.UI.exe,"Ох! Музыка! Ты знаешь, как я люблю музыку!",b,,,,,,,,,,,,
Mail,HxOutlook.exe,"Я надеюсь, что это только для работы, а не для чего-то ещё, ахаха~",l,,,,,,,,,,,,
Maps,Maps.exe,"Я теперь вижу, где ты живешь!",b,Если ты не запретил приложению использовать данные о месторасположении.,h,"Тогда я только смогу узнать, какие места ты ищещь...",r,,,,,,,,
Messaging,MessagingApplication.exe,"Надеюсь, ты просто переписывался с другом, ахаха~",m,,,,,,,,,,,,
Microsoft Solitare Collection,Solitaire.exe,Хотела бы я сыграть с тобой.,g,"Однажды это случится, правда?",g,,,,,,,,,,
Mixed Reality Portal,MixedRealityPortal.exe,Виртуальная реальность? Звучит интересно!,k,,,,,,,,,,,,
Movies & TV,Video.UI.exe,О! Что мы будем сегодня смотреть?,b,,,,,,,,,,,,
#,OneDrive.exe,Хранение в облаке?,,,,,,,,,,,,,
Paid Wi-Fi & Cellular,OneConnect.exe,Ты хочешь заплатить за Wi-Fi или за телефон на ПК?,f,"Это звучит довольно смешно, если тебя это интересовало.",h,,,,,,,,,,
Paint 3D,PaintStudio.View.exe,3D рисование? Что будешь делать сегодня?,b,,,,,,,,,,,,
People,PeopleApp.exe,"Теперь я вижу, кто у тебя в телефоне!",b,Если ты не запретил меня смотреть...,h,"Но ты же не сделаешь этого, верно?",r,,,,,,,,
Photos,Microsoft.Photos.exe,"Кстати, это один из способов увидеть тебя и твою реальность.",b,,,,,,,,,,,,
Settings,"System.Settings.exe, SystemSettings.exe",Что ты меняешь?,,"Надеюсь, ты знаешь, что делаешь.",n,,,,,,,,,,
Sticky Notes,Microsoft.StickyNotes.exe,"Я вижу, что ты на нём пишешь.",b,,,,,,,,,,,,
Microsoft Store (Store),WinStore.App.exe,Что ты собираешься установить?,,,,,,,,,,,,,
Tips,WhatsNew.Store.exe,Не ищи подсказки в там.,l,"Это просто советы о том, как запустить компьютер",,,,,,,,,,,
View 3D,3DViewer.exe,Что мы увидим сегодня в 3D?,j,,,,,,,,,,,,
Voice Recorder,SoundRec.exe,"Возможно, это единственный способ сказать, что я люблю тебя.",f,"Можешь сказать это мне прямо сейчас, {name}?",g,,,,,,,,,,
Weather,Microsoft.Msn.Weather.exe,"Убедился, что погода хороша для твоих сегодняшних дел?",j,,,,,,,,,,,,
Xbox,XboxApp.exe,"Таким образом, ты играешь на других консолях!",b,"Скажи мне, в какие игры ты на них играешь.",b,,,,,,,,,,
#End of Windows 10 Apps,,,,,,,,,,,,,,,
McAfee,McUICnt.exe,Твой компьютер заразился вирусом?,f,"Помни, что я твой надежный антивирус.",b,Я могу просто удалить их с твоего компьютера.,k,"Нет необходимости, использовать McAfee.",b,,,,,,
Notepad++,notepad++.exe,"Ты знаешь как, открыть код?",j,"Давай посмотрим, что можно сделать.",k,,,,,,,,,,
System Configuration,msconfig.exe,Будь осторожен!,g,Я не хочу потерять тебя снова!,g,,,,,,,,,,
Command Prompt,cmd.exe,"Я уверена, ты знаешь, что делаешь...",g,"...верно, {name}?",g,,,,,,,,,,
"Windows PowerShell [oof, PowerShell > cmd]",powershell.exe,Еще одна Командная Строка?,h,Зачем тебе две штуки?,h,,,,,,,,,,
System Restore,rstrui.exe,"О, нет.",f,Что-то пошло не так.,f,"Я могу сказать, тебе, чтобы ты открыл восстановление системы...",f,"Надеюсь, ты меня поддержишь.",g,,,,,,
OBS,obs64.exe,{name}!,g,Я говорила тебе в прошлый раз не снимать меня!,f,"Ты знаешь, как я себя чувствую перед камерой!",g,"По крайней мере, не показывай мне это или просто выключи.",f,Я не хочу снова запускать эту сцену.,f,"хорошо, {name}?",g,,
