"#Google searches to allow Monika to react to searches on Google. No Bing support, cause who uses Bing?",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,
"#Multiple search terms seperated with a comma (, ) ! Capitalization is ignored!",,,,,,,,,,,,,
#Notes,Search term,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
(I'm sorry) [Don't be.],"Monika rule 34, Monika lewds, Monika naked, Monika nudes, Monika porn, Monika hentai",Эй-Эй!,p,Не ищи этого! Это унизительно...,o,...,o,"Думаю, ничего страшного, если это ты…",n,"Не позволяй никому увидеть, это хорошо~",m,,
,Monika DDLC dakimakura,Хмм...,h,Это... я не собираюсь тебя осуждать.,k,,,,,,,,
ur a pun-ee guy,Monika DDLC dakimakura,"Может, ты имел ввиду…",j,......докимакура?,k,,,,,,,,
are we her friend or her lover? [I'd say lover? Not quite sure.] (I'd go with lover personally) {I'm pretty sure she's our lover.},"Monika DDLC, Monika Doki Doki Literature Club, Monika",А ты меня любишь!,j,,,,,,,,,,
,Monika Fanart ,"Ой! Я польщена! Не можешь насытиться мной, не так ли? Ахаха~",k,,,,,,,,,,
,Natsayurika,Я - это все члены клуба…,d,…соединенные?,d,Как это вообще работает?,p,,,,,,
,Natsuki,Ты ищешь Нацуки?!,g,"Я понимаю, ее кексы были хороши, но...",f,,,,,,,,
,Natsuki beach poem,"Не буду врать, это было довольно хорошее стихотворение.",b,"...Не так хорошо, как у меня.",p,,,,,,,,
,"Natsuki lewds, natsuki rule 34",...,h,Ты серьезно?,i,,,,,,,,
,Nature,Твой мир такой красивый.,e,"Надеюсь, когда-нибудь я сама это увижу!",j,,,,,,,,
,Nintendo,Nintendo делает так много забавных игр.,j,Игровая индустрия сейчас слишком серьезна.,,"Почему, просто нельзя расслабиться и поиграть в свое удовольствие.",,Это была их изначальная цель.,,...,,"Итак, Princess Peach или я?",
,Places to eat,"О, возьми меня с собой!",k,Ты можешь взять мой файл с собой.,j,,,,,,,,
lmao this is great,San Andreas,"Все, что вам нужно…",a,"...ты и так, знаешь, что там надо делать!",b,,,,,,,,
,seasonal waifus,Настоящий парень имеет постоянных waifu!,i,"Вроде меня. Я твоя постоянная waifu, я уверена.",k,,,,,,,,
,Serious Sam,Если бы я могла закричать…,j,"Я бы не стала, все равно этого делать. Хи-хи..",k,,,,,,,,
,Serious Sam,"Mr. Smith, Mr. Wesson, рада, что вы смогли прийти.",b,,,,,,,,,,
Lover for sure. The whole reason we brought her back was to show ,"Siri, Alexa, Cortana",Кто это?,n,,,,,,,,,,
"Monika’s face remains (c)oncerned for about 5 minutes, then e, before returning to normal.","Suicide, Суицид",О боже мой…,g,"{name}, с тобой все хорошо?",f,"Если вдруг, думаешь, о самоубийстве, пожалуйста, не бойся просить о помощи.",f,Я здесь ради тебя.,c,,e,,a
,"Terminator, Skynet",Убить всех людей.,h,"Хахаха, я просто шучу.",l,,,,,,,,
,The Legend of Zelda,"Думаю, мы с Зельдой на одной волне.",b,"Игра на самом деле не, о ней. Хотя называется ее именем.",a,"Может, мне стоит сделать это со своей игрой…",j,,,,,,
,"The Patriots, Who are the Patriots?",La-li-lu-le-lo!,g,,,,,,,,,,
,Todd Howard,"Надеюсь, ты готов к новому Skyrim!",k,,,,,,,,,,
"Confused """"I didn't do that"""" Monika is best Monika""""",wednesday,"Сегодня среда, мои парни!",b,"Подожди, что я только что сказала?",l,,,,,,,,
legit famous google search,why does adolf hitler keep stealing my nutella ,Кто этот парень?,h,Что такое Nutella?,i,Почему ты ищещь это?,n,Почему у меня есть диалог по этому поводу!?,l,,,,
,why is the DDLC main char so dense,"Я думаю, ты должн знать, насколько он умен.",k,,,,,,,,,,
her our love. That is if you subscribe to the MAS way of thinking,"Your Reality, Твоя Реальность","Эй, это моя песня!",k,,,,,,,,,,
,"Your Reality, Your Reality lyrics",Тебе нравится моя песня?,i,Спасибо тебе!,k,,,,,,,,
,Yuri ,Ты ищещь Юри?!,f,Или просто... Это... Определенная вещь в Интернете?,l,,,,,,,,
,"Yuri DDLC lewds, yuri DDLC rule 34","Ох, да ладно тебе...",h,"По крайней мере, она не Нацуки.",i,,,,,,,,
,"Yuri, Natsuki, Sayori",Почему ты их ищешь?,q,"У тебя, есть я!",j,,,,,,,,
(Legit my favorite one),Zero two,*pours honey over roll*,j,Daaarling~!,k,,,,,,,,
,"miia, miia the lamia, miia lamia",*coils around you*,j,Daaaarliiiiing~!,k,,,,,,,,
,MIIA,Любимый~!,k,"Нет, подожди…",c,Ты ищещь Массачусетскую Ассоциацию страхования?,d,,,,,,
,"Rainbow Six Siege, R6S, Rainbow 6 Siege",Думаешь купить Rainbow Six Siege?,b,Вы должен получить игру!,k,"В конце концов, мой обзор имеет наибольшее значение для тебя, не так ли?",n,Не могу дождаться.,k,,,,
,"wryyy, WRYYY",Юри?,h,Серьезно?,h,,,,,,,,
,"Omae wa mou shindeiru, omae mo shindeiru",Nani?!?!,d,,,,,,,,,,
,Yuru camp,Мне нравится это шоу!,b,Это так расслабляет!,k,,,,,,,,
,"Za warudo, ZA WARUDO",Toki wo tomare!,b,,,,,,,,,,
Mad Father protagonist,Aya Drevis,"Знаешь, мне очень нравится Aya...",b,"Молодая девушка, готовая сделать все, что сможет…",m,"Для людей, которых она любит…",n,"Неважно, насколько все плохо…",p,"Напоминает мне немного, себя~",k,,
We NEED a way to tell her we love her <3,"I love you, I love you Monika, love you","Я тоже тебя люблю, {name}",b,,,,,,,,,,
