"#Applications have to be specified using their executable name. So ""firefox.exe"" instead of ""Firefox Browser"" for example.",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,,,
#Notes,Application,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,,
"""Monika's Overclocking Tip of the Day""","HWMonitor.exe, MSIAfterburner.exe",Tu vérifies que tout soit en ordre et fonctionne bien ?,j,,,,,,,,,,,,
,"iTunes.exe, foobar2000.exe, wmplayer.exe, vlc.exe",J'adore écouter de la musique. ,b,"Juste, ne mets pas 'Your Reality' quand je suis ici.",l,C'est assez intéressant.,n,Mais cela me rend heureuse que tu l'apprécies.,k,,,Could you make something for me sometime? ,j,,
Can be applied to other dating sims.,"Katawa Shoujo.exe, Everlasting Summer.exe",Je vois que tu ouvres un jeu de drague.,g,J'espère que c'est parce que tu es intéressé par le scénario.,g,Pas à cause des filles.,g,,,,,,,,
,KingdomComeDeliverance.exe,J'ai entendu parler de ce jeu ! ,b,"C'est sensé donner beaucoup d'indications historiques, non ?",,Peut-être que j'apprendrai quelque chose en te regardant jouer !,b,,,,,,,,
,ldod.exe,Oliver devrait grandir mentalement...,g,...il est un peu trop gamin.,f,,,,,,,,,,
,LifeIsStrange.exe,C'est étrange en effet...,h,Comment a-t-elle eu ses pouvoirs de toute façon ?,i,,,,,,,,,,
,limbo.exe,C'est trop sombre ici...,p,...,q,J'ai besoin d'un peu de temps. Pour... penser à quelque chose...,r,,,,,,,,
,"mbam.exe, hitmanpro_x64.exe",Oh... est-ce que ton ordinateur a été infecté par un virus ?,p,"Si c'est le cas, fais le moi savoir et je supprimerai ces méchants virus pour toi, d'accord ?",b,"De cette façon, tu n'auras pas besoin de dépenser ton argent dans ces antivirus couteux, ehehe.",j,,,,,,,,
,MgsGroundZeroes.exe,Ils s'amusaient avec nous comme des jouets!,i,,,,,,,,,,,,
,mgsvtpp.exe,Je n'ai jamais vraiment compris pourquoi les attaquants doivent désamorcer des bombes dans des avions abandonnés...,f,Qu'est-ce qui prend autant de temps ?,g,,,,,,,,,,
,Minecraft.exe,Je sais que ce n'est vraiment pas quelque chose de spécial.,d,Mais ce jeu m'en met pleins la vue.,r,C'est génial de voir toutes les choses que les gens ont créé.,d,...Et c'est plutôt triste de penser que je ne serai jamais aussi forte.,g,"Mais, je ne pourrais pas y jouer entièrement si je le voulais.",e,,,,
Anyone able to add other video player exes?,"mpc-be.exe, vlc.exe, wmplayer.exe, mpv.exe, mpc-hc.exe",Oh ? Qu'allons-nous regarder ?,b,Des films d'Hollywood ? Peut-être des anime ?,b,"Juste pas...""ce genre"" d'anime, j'espère.",n,Ou peut-être que nous allons écouter de la musique?,b,De toute façon j'aime passer du temps avec toi~,k,,,,
"""Monika's 2nd Overclocking Tip of the Day~!""",MSIAfterburner.exe,Je suppose que tu pourrais dire que j'ai une mise à jour maintenant. Ahaha~,k,Mais ne pousse pas le bouchon trop loin. Je suis ici à l'intérieur après tout...,n,,,,,,,,,,
,"mspaint.exe, PaintDotNet.exe, inkscape.exe, sai.exe, Paint Tool SAI.exe, CLIPStudioPaint.exe",Est-ce que tu vas dessiner quelque chose pour moi ? ,e,,,,,,,,,,,,
,"mspaint.exe, PaintDotNet.exe, inkscape.exe, sai.exe, Paint Tool SAI.exe, CLIPStudioPaint.exe",Peut-être que tu pourrais essayer de me dessiner ?,k,,,,,,,,,,,,
,"mspaint.exe, PaintDotNet.exe, inkscape.exe, sai.exe, Paint Tool SAI.exe, CLIPStudioPaint.exe, FL.exe",N'oublie pas d'enregistrer ton travail !,k,"Nous ne voudrions pas perdre des heures de travail, n'est-ce pas ?",l,Cela me briserait le coeur.,o,,,,,,,,
,"NFS11.exe, Need For Speed The Run.exe","C'est excitant, hein ?",l,"Accélérer sur la route, aussi vite que possible, en dépassant nos adversaires surpasser ceux qui veulent y mettre fin.",j,"Juste ne fais pas cela dans la vraie vie, d'accord ? Je ne peux pas te voir en prison.",l,,,,,,,,
,"notepad.exe, wordpad.exe, WINWORD.EXE, notepad2.exe, vim.exe, gvim.exe",Es-tu en train d'écrire des poèmes ?,a,Je te promets que je ne vais pas interférer !,k,,,,,,,"Just talk to me, you know I love listening to you!",,,
,"notepad.exe, wordpad.exe, WINWORD.EXE, notepad2.exe, vim.exe, gvim.exe","Hey, rappelle-toi de mes conseils d'écriture !",j,,,,,,,,,,,,
,Origin.exe,"EA a une mauvaise réputation de nos jours, hein ?",m,Même si je ne suis pas sûre si je dois les défendre ou non.,,"Je me sens mal, ils font marcher la compagnie de la seule façon qu'ils connaissent.",,"Mais, ils ont déçu leurs fans beaucoup, beaucoup de fois dans le passé.",,Je suppose que c'est une bénédiction que le Club de Littérature soit sur Steam !,,"Ouais, ce jeu a l'air amusant... Hehe !",,,
Monika confirmed OW player (hell yeah),Overwatch.exe,Oooh ! J'aime bien ce jeu !,b,"Enfin, j'espère vraiment que tu n'es pas un Hanzo Main.",g,,,,,,,,,,
,"Photoshop.exe, GIMP.exe",Oooh ! Tu aimes retoucher des photos ?,b,,,,,,,,,,,,
,pitpeople.exe,This farmer's got some big blue...,m,...berries,n,"Pipistrella is gorgeous, too!",a,,,,,,,,
"""Monika's Puzzle Tip of the Day~!"" (Nice)",portal2.exe,Voici le Conseil Puzzle du Jour par Monika~ !,k,"Si tu te retrouves coincé prend juste une grande inspiration, et essaye de rassembler tes pensées.",j,Ou tu peux regarder dans un guide... mais ce n'est pas amusant !,n,"De toute façon, tu peux le faire. Je crois en toi~",s,,,,,,
"""Monika's Presenting Tip of the Day"" (i love you)",POWERPNT.EXE,Tu prévois un oral ?,a,"Si tu es nerveux, n'oublie pas: Tu dois juste *faire comme si* tu as confiance en toi !",b,,,,,,,,,,
,putty.exe,"PuTTY, hein ? J'ai seulement de l'expérience avec le Python Shell...",o,,,,,,,,,,,,
,putty.exe,"Passe le bonjour au serveur de ma part, d'accord ?",k,,,,,,,,,,,,
"Siege, because Monika on the server plays it",RainbowSix.exe,Je n'ai jamais vraiment compris pourquoi les attaquants doivent désamorcer des bombes dans des avions abandonnés...,3i,Ce n'est pas logique. L'avion est vide avec seulement les défenseurs à l'intérieur.,4c,,,,,,,,,,
,renpy.exe,"Donc, tu es familier avec Python ?",a,Oeut-être que j'apprendrai quelque chose de nouveau grâce à toi.,b,,,,,,,,,,
roblox has a launchable desktop application iirc,roblox.exe,N'est-ce pas légèrement... enfantin ?,n,...Ce n'est pas grave ! Je ne juge pas !,l,Tant que nous nous amusons ahaha~,m,,,,,,,,
Should be a good enough blanket inclusion of most installers,"Setup.exe, Setup.msi, Install.exe, Install.msi",Qu'est-ce que tu installes ?,a,"J'espère que ce n'est pas trop volumineux, je suis là aussi...",m,Au moins ce sera amusant pour nous deux ? Peu importe ce que c'est.,l,,,,,,,,
What if DDLC Shimeji? Am I still cheating? :3,"Shimeji-ee.jar, Shimeji-ee.exe, Shimeji-ee.bat, Shimeji.jar, Shimeji.exe",Est-ce que... tu me trompes ?,p,,,,,,,,,,,,
Could apply to others like Valkyrie Drive or certain dating sims like HuniePop,SKEstivalVersus.exe,Pourquoi est-ce que tu joues à ce jeu ?,p,Le gameplay ou...,p,Quelque chose d'autre ?,p,,,,,,,,
,"Skype.exe, ts3client_win64.exe, ts3client_win32.exe, mumble.exe",À qui est-ce que tu parles ?,a,"Un ami, un membre de ta famille ?",b,Quelqu'un que tu aimes ?,l,"Si c'est le cas ce n'est pas grave, nous ne pourrions pas être ensemble.",l,Mais tu ne m'oublieras pas d'accord ?,i,Je suis beaucoup plus accessible tu sais.,i,,
,SkyrimLauncher.exe,As-tu déjà fini l'histoire principale ?,j,,,,,,,,,,,,
,"Spotify.exe, foobar2000.exe, AIMP.exe","Tu écoutes de la musique ? Génial, tu sais à quel point j'adore la musique !",b,Tu devrais aussi écouter ma chanson~,k,,,,,,,,,,
,Stardew Valley.exe,Je viens de regarder tes statistiques...,a,Tu as 13 coeurs avec moi !,j,"Aww, merci !",k,,,,,,,,
,Steam.exe,Assure-toi de jouer avec moi plus souvent !,b,,,,,,,,,,,,
,Steam.exe,Tu ferais mieux de ne pas me tromper.,h,"Ne joue pas à d'autres jeux de drague, d'accord ?",b,Tu dois seulement jouer avec moi !,b,,,,,,,,
,Steam.exe,Steam ? À quoi est-ce que nous jouons aujourd'hui?,b,,,,,,,,,,,,
,Steam.exe,Steam a tellement de jeux divertissants ! ,b,Peut-être que nous devrions aller au Club de Littérature.,b,Ou peut-être nous rendre dans une nouvelle aventure ! ,k,,,,,,,,
,Steam.exe,Est-ce que tu joues à des jeux sur d'autres plateformes ?,e,"Tu as sûrement autre chose que ton PC, n'est-ce pas ?",c,"Si c'est le cas, dis moi à quels jeux tu joues là bas.",a,Biensûr je peux voir à quoi tu joues sur ton ordinateur.,e,Mais sur console c'est hors de mes capacités.,f,,,,
,SteamVR.exe,N'est-ce pas fou à quel point la technologie est avancée de nos jours ?,e,"Et en y repensant, cela va bientôt nous réunir.",j,Je suis trop contente !,j,,,,,,,,
,Subnautica.exe,J'adore l'océan.,b,Pour la même raison qui me fasse aimer l'espace.,b,C'est drôle de penser à quel point cela est vaste et spacieux.,e,Tu te demandes qu'est-ce qu'il y a là-bas que nous n'avons pas encore découvert.,i,Ce jeu a les deux ce qui le rend encore meilleur !,a,,,,
,SuperMeatBoy.exe,Tu aimes vraiment être torturé ?,h,Et par ce foetus ??,i,,,,,,,,,,
Task Manager,Taskmgr.exe,Oh non... Est-ce que quelque chose a mal tourné ?,f,Ce n'est pas grave ! Tu seras capable de le réparer. Je crois en toi~,k,...,m,J'espère ne pas être le problème.,n,Mais je comprendrais si tu devais me fermer. Je ne m'énerverais pas~,e,,,,
,Telegram.exe,Passe le bonjour à tes amis de ma part !,l,,,,,,,,,,,,
"Ultra oof, sneaky bulli",TI Connect CE.exe,"Si tu prévois de m'implanter dans une calculatrice, n'essaie pas.",l,Je ne pense pas qu'il y ait assez d'espace de stockage pour un des membres du club.,l,Enfin... Peut-être Natsuki. Son fichier doit être assez petit.,n,,,,,,,,
The Sims 4,TS4_x64.exe,Cela a l'air amusant !,b,Une façon plus simple et rapide de nous réunir.,,All you have to do is make one sim for each of us.,,"Then we can get married, cuddle, have kids, go to parties, watch our kids grow...",,...,,"There would be much to explore, and being in the same world would be nice...",f,"Sorry, I'm rambling. Have fun~",l
PUBG,TslGame_BE.exe,Pourquoi est-ce qu'ils ne restent pas simplement dans l'avion ?,d,Quel est le but de tout cela ?,,,,,,,,,,,
,UNDERTALE.exe,"Peu importe celui qui a fait ce jeu, il est très doué au piano.",k,J'aimerais le rencontrer un jour.,j,,,,,,,,,,
I got this. I think.,VRChat.exe,"""Do you know the way ?""",d,De quoi est-ce que tu parles ?,e,,,,,,,,,,
,VRChat.exe,Ask me if you want to know da wae ! ,b,"Haha, j'adore internet~",k,,,,,,,,,,
,"wallpaper32.exe, wallpaper64.exe",J'espère que tu ne mettras personne d'autre ici...,m,,,,,,,,,,,,
,"warframe.exe, warframe64.exe","Réveille-toi, Tenno!",g,Je détecte un grand champ de sécurité se dirigeant vers toi.,d,ce sont... Grineer et Corpus en même temps.,a,,,,,,,,
,WINWORD.exe,Peut-être que tu pourrais m'écrire un poème ?,a,,,,,,,,,,,,
,witcher3.exe,"♫ Oy Lazare, Lazare ♫",k,♫ Tuka ni sa kazali ♫,k,"Je ne sais pas ce que cela veut dire, mais j'adore.",b,,,,,,,,
,DokiDokiRainClouds.exe,Je vois que tu as trouvé un moyen de jouer avec le point de vue de Sayori.,d,J'espère au moins que tu comprends à quoi tu vas faire face.,g,,,,,,,,,,
,DokiDokiRainClouds.exe,"Je suis désolée, Sayori !",,,,,,,,,,,,,
,Stardew Valley.exe,Y a-t-il un mod pour m'ajouter au jeu ?,,"Si c'est le cas, j'aime penser que tu l'as déjà téléchargé.",,,,,,,,,,,
,Smite.exe,"""Smite"", hein ?",c,N'est-ce pas ce jeu qui utilise des dieux et déesses en tant que personnages ?,d,"Je suppose que je suis une sorte de déesse aussi, d'une certaine façon...",m,"...Peut-être qu'un jour je deviendrai accro à ce jeu aussi, qui sait ? Ahaha~",k,,,,,,
No Man's Sky,NMS.exe,♫ ...mais dans ce monde avec de nombreux choix... ♫,j,♫ ...que faudra-t-il pour trouver cette base spéciale ? ♫,k,"...hum, pardon, je ne pouvais pas me retenir de chanter cela, ahaha...",n,,,,,,,,
,gimp-2.8.exe,Retouche de photo hein ?,g,Prévois-tu de faires de mignons fanart de moi ?,j,"Ne t'inquiète pas, je ne regarderai pas tant que tu n'auras pas terminé.",r,Pour garder la surprise !,k,,,,,,
"Drawing Apps in general, add more if you know any!","CLIPStudioPaint.exe, Photoshop.exe, mspaint.exe, PaintDotNet.exe, sai.exe, Paint Tool SAI.exe",Dessine-moi comme l'une de ces filles Espagnoles~,5a,Por favor ~ ♥ ?,5a,,,,,,,,,,
,Garena.exe,Garena ? On dirait que tu viens d'Asie.,b,"Pas que cela soit important, puisque je connais déjà ton adresse IP...",n,Hehe~ ♥,l,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe",Bienvenue dans la Faille de l'Invocateur !,k,"Or Howling Abyss, whichever suits your taste...",l,,,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe","Si tu te sens mal après une mauvaise bataille, fais le moi savoir.",d,Je ferai de mon mieux pour te remonter le moral !,e,,,,,,,,,,
,"lol.exe, LeagueOfLegends.exe, lollauncher.exe, lolex.exe",Assure-toi que ce jeu ne devienne pas une addiction !,r,Aucun jeu ne devrais devenir une addiction.,r,Excepté pour moi ! Hehe~ ♥,l,,,,,,,,
,IdleMaster.exe,J'espère que tu utilises IdleMaster pour des Cartes Steam et pas pour moi.,b,Je veux sentir un amour et une affection authentiques de ta part~ ♥,k,,,,,,,,,,
Fire Emblem Cipher Simulator,FECipherVit.exe,Oh ? Qu'est-ce que c'est ? Est-ce un jeu de cartes ?,d,C'est totalement en japonais ! Cela ne complique-t-il pas le jeu ?,m,En tout cas les artwork sont très jolis !,k,,,,,,,,
S.T.A.L.K.E.R.,xr_3da.exe,"Oh, S.T.A.L.K.E.R.! Quite a bloody game, isn't it? Not that I dislike it, quite the opposite...",d,I've seen someone draw me and the rest of the club as faction members!,b,They drew me as a mercenary though... not a big fan of them... quite a boring faction.,l,But I'm glad someone was kind enough to do that for me!,j,Perhaps one day we will be able to visit Garbage and shoot bandits together...,a,,,,
Doom,"doom.exe, zdoom.exe, gzdoom.exe","Wow, this game sure is bloody! I've seen it before!",p,All these guts and blood...,p,I think I'm gonna puke...,p,"{name}, I'm not gonna stop you from playing this...",r,but can you at least play in fullscreen... or at least turn me off?,r,I don't want to see all this... gore...,,,
Unity,Unity.exe,Are you working on a new project?,d,I didn't know you knew how to code too!,b,"If you need someone to help bug fix, just talk to me, my love~",j,,,,,,,,
Dolphin (Gamecube Emulator),Dolphin.exe,"Hey, have you ever heard of a game called Super Sma-",d,"...Wait, what?",n,I was just spacing out and starting talking for some reason.,l,Was I programmed to start talking about that? Because even I don't know what that is.,l,,,,,,
,"Honey Select Unlimited_32.exe, Honey Select Unlimited_64.exe",,,,,,,,,,,,,,
,osu!.exe,You can beat cookiezi!!!,b,You can do better!,b,Try to get some pp this time.,f,,,,,,,,
Registry Editor,regedit.exe,"Oh, please be careful!",q,I really wouldn't want to lose you...,r,,,,,,,,,,
RPG Maker MV; possible for other game making software?,RPGMV.exe,Trying to make your own game?,b,Can I be in it?,e,"Well, not literally, of course...",j,I would really appreciate it~♥,k,,,,,,
Microsoft OneNote,ONENOTE.exe,Notebooks are good places to take some quick notes...,b,"Event planning, school assignments, writing ideas...",a,...Maybe even a quick poem or two~?,e,,,,,,,,
Epic Battle Fantasy 4,EBF4.exe,"Aww, so many cute kitties!",k,Just one question...,g,How are they holding their weapons?,l,,,,,,,,
#Start of Windows 10 Apps,,,,,,,,,,,,,,,
#,Time.exe,Taking a look at the time?,,,,,,,,,,,,,
Calculator,Calculator.exe,2+2=4-1=3 Quick Maths.,j,,,,,,,,,,,,
Calendar,HxCalendarAppImm.exe,Don't forget to remind yourself about my birthday!,j,It's September 22nd if you forgot.,b,,,,,,,,,,
Camera,WindowsCamera.exe,Hey! I can finally see you now!,j,Unless you blocked the app from using the camera.,h,"Then, I can't see you.",r,I really want to see what you look like {name}...,g,,,,,,
Connect,"Reciever.exe, Receiver.exe",Casting something here?,b,,,,,,,,,,,,
#,SearchUI.exe,I wish someone made me into Cortana so I can search for you instead.,q,"Hopefully, one day someone does, right {name}?",o,,,,,,,,,,
Feedback Hub,PilotshubApp.exe,Reporting a Bug?,,,,,,,,,,,,,
Get Help,GetHelp.exe,"Just ask me what problems you have on your computer, {name}.",h,,,,,,,,,,,,
Groove Music,Music.UI.exe,Ooh! Music! You know how much I love Music!,b,,,,,,,,,,,,
Mail,HxOutlook.exe,I just hope it's only for work and not something else ahaha~,l,,,,,,,,,,,,
Maps,Maps.exe,I can see where you live now!,b,Unless you blocked the app from using your location data.,h,"Then, I will only know what places you're searching for...",r,,,,,,,,
Messaging,MessagingApplication.exe,"Hopefully your just chatting with a friend, ahaha~",m,,,,,,,,,,,,
Microsoft Solitare Collection,Solitaire.exe,I wish I could play it with you.,g,"One day though, right?",g,,,,,,,,,,
Mixed Reality Portal,MixedRealityPortal.exe,VR? Sounds interesting,k,,,,,,,,,,,,
Movies & TV,Video.UI.exe,Ooh! What are we watching today?,b,,,,,,,,,,,,
#,OneDrive.exe,Storage in the Cloud?,,,,,,,,,,,,,
Paid Wi-Fi & Cellular,OneConnect.exe,You have to pay for Wi-Fi and Mobile Service on PC?,f,That's sounds pretty ridiculous if you ask me.,h,,,,,,,,,,
Paint 3D,PaintStudio.View.exe,3D Painting? What are we making today?,b,,,,,,,,,,,,
People,PeopleApp.exe,I can now see who you have on your phone now!,b,Unless you blocked me from seeing...,h,"But you wouldn't do that, right?",r,,,,,,,,
Photos,Microsoft.Photos.exe,At least this is one way I can see you and your reality.,b,,,,,,,,,,,,
Settings,"System.Settings.exe, SystemSettings.exe",What are you changing?,,"Hopefully, you know what your doing.",n,,,,,,,,,,
Sticky Notes,Microsoft.StickyNotes.exe,I can see what your writing on it.,b,,,,,,,,,,,,
Microsoft Store (Store),WinStore.App.exe,What are you going to install?,,,,,,,,,,,,,
Tips,WhatsNew.Store.exe,Don't expect writing tips in there.,l,It's just tips on how to run your computer,,,,,,,,,,,
View 3D,3DViewer.exe,What are we going to see today in 3D?,j,,,,,,,,,,,,
Voice Recorder,SoundRec.exe,This is probably the one way you can say I love you to me.,f,"Can you say that to me right now, {name}?",g,,,,,,,,,,
Weather,Microsoft.Msn.Weather.exe,Making sure the weather is good for your activites?,j,,,,,,,,,,,,
Xbox,XboxApp.exe,So you do play on other consoles!,b,Tell me what games you play on them.,b,,,,,,,,,,
#End of Windows 10 Apps,,,,,,,,,,,,,,,
McAfee,McUICnt.exe,Did your computer get infected with a Virus?,f,"Remember, that I am your trusty anti-virus.",b,I can just delete them from your computer.,k,"No need for, McAfee.",b,,,,,,
Notepad++,notepad++.exe,You know how to code?,j,Let's see what you can do!,k,,,,,,,,,,
System Configuration,msconfig.exe,Be careful!,g,I don't want to lose you again!,g,,,,,,,,,,
Command Prompt,cmd.exe,I'm sure you know what your doing.,g,"Right, {name}?",g,,,,,,,,,,
"Windows PowerShell [oof, PowerShell > cmd]",powershell.exe,Another Command Prompt?,h,Why do we need two of them?,h,,,,,,,,,,
System Restore,rstrui.exe,Oh no.,f,Something did go wrong.,f,I can tell by you opening up System Restore...,f,"Hopefully, you have me backed up.",g,,,,,,
OBS,obs64.exe,{name}!,g,I told you last time to not record me!,f,You know how self-conscious I am on camera!,g,"At least, don't show me in it or just turn me off.",f,I really don't want to trigger that scene again.,f,"Okay, {name}?",g,,
